1,胜利石油管理局滨南医院,医院,西文怡,二级_甲等,国有全资,滨州市,滨城区,滨州市滨城区渤海六路719号,256600,176,106,无
2,滨城白求恩血液净化中心,医院,师晓婷,二级_未定等,undefined,滨州市,滨城区,滨州市滨城区黄河十二路渤海十六路交汇处西北角,256600,17,37,无
3,滨城利世骨伤医院,医院,李建文,二级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河二路528号,256600,47,80,无
4,滨州安泰心理康复医院,医院,刘宝庆,二级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河十一路渤海八路交叉口,256600,31,70,无
5,滨州百佳妇产医院,医院,朱志敏,二级_未定等,私有,滨州市,滨城区,滨州市渤海七路889号,256600,102,50,无
6,滨州百世儿童医院,医院,白路风,二级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河二路渤海十七路交汇处,256600,71,80,无
7,滨州广兴妇产医院,医院,李同安,二级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河二路608号,256600,82,48,无
8,滨州沪滨爱尔眼科医院,医院,綦跃勤,二级_未定等,私有,滨州市,滨城区,滨州市滨城区市东街道办事处渤海五路661号,256600,199,80,无
9,滨州鲁滨妇产医院,医院,刘海燕,二级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河十路610号,256600,39,50,无
10,滨州市滨城区人民医院,医院,齐春生,二级_未定等,国有全资,滨州市,滨城区,滨城区滨北街道办事处梧桐五路59号,256651,299,230,无
11,滨州市滨城区市立医院,医院, 封占云,二级_未定等,国有全资,滨州市,滨城区,滨州市滨城区黄河十五路1171号,256617,334,200,无
12,滨州职业学院附属医院,医院,刘连营,二级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海九路819号,256603,124,119,无
13,滨州中海妇产医院,医院,吕春玲,二级_未定等,私有,滨州市,滨城区,滨州市黄河十二路渤海十五路交叉口向东50米,256600,32,50,无
14,滨州市人民医院,医院,徐宏,三级_甲等,国有全资,滨州市,滨城区,滨州市滨城区黄河七路515号,256610,2018,1780,无
15,滨州医学院附属医院,医院,王强,三级_甲等,国有全资,滨州市,滨城区,滨州市滨城区黄河二路661号,256603,3231,1869,无
16,滨州市中医医院,医院,张永生,三级_乙等,国有全资,滨州市,滨城区,滨州市滨城区渤海八路539号,256613,162,320,无
17,滨城滨海医院,医院,黄红旗,未定级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海五路633号,256600,14,20,无
18,滨城济滨医院,医院,张美玲,未定级_未定等,私有,滨州市,滨城区,滨州市黄河二路815号,256600,18,20,无
19,滨城丽人医院,医院,林金武,未定级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河八路渤海五路交叉口,256600,21,20,无
20,滨城民心医院,医院,田磊磊,未定级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河2路402号,256600,23,20,无
21,滨城瑞慷医院,医院,闫腾元,未定级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河十三路渤海十五路路口,256600,17,20,无
22,滨城阳光医院,医院,刘雪瑾,未定级_未定等,私有,滨州市,滨城区,滨州市渤海五路黄河十一路交叉口南,256600,3,20,无
23,滨城忠德医院,医院,林松岭,未定级_未定等,私有,滨州市,滨城区,滨州市黄河六路520号,256600,35,20,无
24,滨州爱心护理院,医院,鄢桂珍,未定级_未定等,私有,滨州市,滨城区,滨州市滨城区彭李街道办事处张课居民区,256600,15,50,无
25,滨州华健医院,医院,段书君,未定级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河二路278号,256606,13,20,无
26,滨州市优抚医院,医院,韦安祥,未定级_未定等,国有全资,滨州市,滨城区,滨州市滨城区长江一路585号,256600,144,200,无
27,滨州魏桥科技工业园职工医院,医院,张波,未定级_未定等,其他内资,滨州市,滨城区,滨州市滨城区黄河五路238号,256606,10,20,无
28,胜利石油管理局建翔医院,医院,钟传茂,一级_甲等,国有全资,滨州市,滨城区,滨州市滨城区渤海五路810号,256622,77,60,无
29,滨城安康医院,医院,鞠培青,一级_未定等,私有,滨州市,滨城区,滨州市黄河十四路市残疾人康复训练中心楼,256600,10,20,无
30,滨城红十字医院,医院,黄元汉,一级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海七路522号,256600,24,15,无
31,滨城沪滨医院,医院,綦跃勤,一级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海五路661号,256600,11,80,无
32,滨城济民医院,医院,初琰,一级_未定等,私有,滨州市,滨城区,黄河一路渤海八路,256600,15,20,无
33,滨城九龙医院,医院,郭福兵,一级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河三路525号,256600,40,20,无
34,滨城利民扶贫医院,医院,王立民,一级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海七路835号,256600,18,25,无
35,滨城玛丽亚妇科医院,医院,林建华,一级_未定等,私有,滨州市,滨城区,滨州市黄河四路渤海六路路口,256600,38,20,无
36,滨城南海医院,医院,崔磊,一级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海十路385号,256600,31,20,无
37,滨城欧亚医院,医院,周国兵,一级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河二路渤海十路,256600,23,20,无
38,滨城荣江医院,医院,孙黎明,一级_未定等,私有,滨州市,滨城区,渤海五路659-10号,256600,19,20,无
39,滨城同济医院,医院,张军,一级_未定等,私有,滨州市,滨城区,滨州市渤海八路859-55号,256600,20,26,无
40,滨城万寿堂医院,医院,吕强,一级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海十路松鹤湖花园小区七号,256600,45,90,无
41,滨城协和医院,医院,陈亮亮,一级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河三路638号,256600,7,20,无
42,滨州渤海中医代谢病医院,医院,张庆业,一级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河八路383号,256600,9,15,无
43,滨州华海白癜风医院,医院,成爱华,一级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海五路778号,256600,94,80,无
44,滨州京城皮肤病医院,医院,陈国辉,一级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河二路732号,256600,35,20,无
45,滨州联合肛肠医院,医院,崔连合,一级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河二路333-9号,256616,14,20,无
46,滨州通康医院,医院,宋开通,一级_未定等,私有,滨州市,滨城区,滨州市滨城区渤海六路688号,256600,37,26,无
47,滨州中医妇科医院,医院,郑其国,一级_未定等,私有,滨州市,滨城区,滨州市滨城区黄河二路695号,256600,24,20,无
48,博兴县人民医院,医院,宋珂,二级_甲等,国有全资,滨州市,博兴县,山东省滨州市博兴县胜利二路1号,256500,601,500,无
49,博兴县中医医院,医院,毛海峰,二级_甲等,国有全资,滨州市,博兴县,博兴县博城五路409号,256500,470,327,无
50,博兴县第二人民医院,医院,王希峰,二级_乙等,国有全资,滨州市,博兴县,山东省滨州市博兴县陈户镇,256505,230,190,无
51,博兴仁爱医院,医院,林庆松,未定级_未定等,私有,滨州市,博兴县,博兴县乐安大街南首,256500,35,46,无
52,博兴协和医院,医院,林松峰,未定级_未定等,私有,滨州市,博兴县,博兴县博昌街道办事处,256500,35,25,无
53,博兴义和医院,医院,刘修武,未定级_未定等,私有,滨州市,博兴县,博兴县兴福镇工业园,256500,17,20,无
54,博兴友谊医院,医院,赵光晨,未定级_未定等,私有,滨州市,博兴县,博兴县城东办事处赵楼村,256500,16,37,无
55,博兴整骨医院,医院,田敬国,未定级_未定等,私有,滨州市,博兴县,博兴锦秋街道办事处安柴村,256500,31,20,无
56,博兴百姓医院,医院,许兰荣,一级_未定等,私有,滨州市,博兴县,博兴县乐安大街西一路291号,256500,18,50,无
57,博兴仁和医院,医院,谷玫琪,一级_未定等,私有,滨州市,博兴县,博兴县经济开发区兴博六路北侧,256500,35,80,无
58,博兴兴福手足外科医院,医院,张岩亮,一级_未定等,私有,滨州市,博兴县,博兴县兴福镇政府驻地,256600,62,70,无
59,惠民县人民医院,医院,王宝山,二级_未定等,国有全资,滨州市,惠民县,惠民县开发区孙武五路396号,251712,744,650,无
60,惠民县中医院,医院,魏学林,二级_乙等,国有全资,滨州市,惠民县,惠民县永莘路60号,251700,103,100,无
61,滨州市中心医院,医院,张瑞杰,三级_甲等,国有全资,滨州市,惠民县,山东省滨州市惠民县南环路108号,251700,1430,1150,无
62,惠民健馨中医医院,医院,石建新,一级_未定等,私有,滨州市,惠民县,惠民县武定府路888号,251700,22,30,无
63,惠民平安医院,医院,张鑫,一级_未定等,私有,滨州市,惠民县,惠民县胡集镇陈集村,251706,35,20,无
64,惠民县人民医院姜楼分院,医院,王宝山,一级_未定等,国有全资,滨州市,惠民县,惠民县姜楼镇工贸小区,251700,0,0,无
65,惠民县人民医院辛店分院,医院,王宝山,一级_未定等,国有全资,滨州市,惠民县,惠民县辛店乡政府驻地,251700,0,0,无
66,惠民阳光医院,医院,陈斌龙,一级_未定等,私有,滨州市,惠民县,惠民县南关街106号,251700,37,20,无
67,无棣县人民医院,医院,罗绍春,二级_甲等,国有全资,滨州市,无棣县,无棣县城院前街187号,251900,746,650,无
68,无棣县中医医院,医院,陈连坤,二级_甲等,国有全资,滨州市,无棣县,无棣县棣新一路 2-59号,251900,252,245,无
69,无棣爱心医院,医院,高祥治,未定级_未定等,私有,滨州市,无棣县,无棣县城新区安康街,251900,20,24,无
70,无棣爱雅医院,医院,杜德标,未定级_未定等,私有,滨州市,无棣县,棣新三路,251900,7,12,无
71,无棣安康医院,医院,鞠培青,未定级_未定等,私有,滨州市,无棣县,山东省滨州市无棣县棣新五路56号,251900,17,50,无
72,无棣棣城医院,医院,咸峰,未定级_未定等,私有,滨州市,无棣县,无棣县转盘西,251900,14,20,无
73,无棣棣州医院,医院,王安禄,未定级_未定等,私有,滨州市,无棣县,无棣县棣州大街,251900,14,20,无
74,无棣冯铺医院,医院,冯寿武,未定级_未定等,私有,滨州市,无棣县,无棣县海峰街道冯铺村,251900,10,30,无
75,无棣和谐医院,医院,李庆峰,未定级_未定等,私有,滨州市,无棣县,山东省滨州市无棣县城棣新四路2-4,251900,16,25,无
76,无棣黄河医院,医院,林东升,未定级_未定等,私有,滨州市,无棣县,无棣县城棣新一路61号,251900,10,20,无
77,无棣民族医院,医院,从立国,未定级_未定等,私有,滨州市,无棣县,无棣县车王镇五营社区,251900,13,20,无
78,无棣万寿堂医院,医院,吕强,未定级_未定等,私有,滨州市,无棣县,无棣县商业街29号,251900,14,22,无
79,无棣县中心医院,医院,陈连坤,未定级_未定等,国有全资,滨州市,无棣县,无棣县城棣新一路2-59号,251900,0,0,无
80,无棣协和医院,医院,林俊义,未定级_未定等,私有,滨州市,无棣县,无棣县城棣新一路与塔影街交汇处,251900,22,20,无
81,无棣县第二人民医院,医院,李玉新,一级_甲等,国有全资,滨州市,无棣县,无棣县碣石山镇政府驻地,251910,0,0,无
82,鲁北高新技术开发区人民医院,医院,冯兆田,一级_未定等,集体全资,滨州市,无棣县,无棣县埕口镇驻地,251909,68,99,无
83,阳信县人民医院,医院,吴涛,二级_甲等,国有全资,滨州市,阳信县,阳城三路674号,251800,506,343,无
84,阳信县中医院,医院,劳玉国,二级_甲等,国有全资,滨州市,阳信县,阳城三路676号,251800,307,320,无
85,滨州鲁恒眼科医院,医院,刘恒,未定级_未定等,私有,滨州市,阳信县,阳信县幸福一路32号,251800,24,20,无
86,阳信华夏医院,医院,吴文珍,未定级_未定等,私有,滨州市,阳信县,山东省阳信县幸福三路409号,251800,7,30,无
87,阳信商店镇小桑卫生院,医院,曹树彬,未定级_未定等,私有,滨州市,阳信县,阳信县商店镇小桑经贸园区,251806,5,25,无
88,阳信民族医院,医院,从学斌,一级_未定等,私有,滨州市,阳信县,阳信县河流镇刘庙村,251800,9,34,无
89,阳信信德医院,医院,吴中超,一级_未定等,私有,滨州市,阳信县,阳信县新汽车站南邻,251800,15,20,无
90,滨州市沾化区中医院,医院,王汉云,二级_甲等,国有全资,滨州市,沾化县,沾化县沿河路452号,256800,94,101,无
91,滨州市沾化区第二人民医院,医院,卢汉岐,二级_未定等,国有全资,滨州市,沾化县,山东省滨州市沾化县下洼镇驻地,256803,115,66,无
92,滨州市沾化区人民医院,医院,侯月智,二级_乙等,国有全资,滨州市,沾化县,滨州市沾化区富电路339号,256800,791,800,无
93,沾化徐泽三正骨医院,医院,徐泽三,未定级_未定等,私有,滨州市,沾化县,山东省滨州市沾化县富港路169号,256800,32,80,无
94,沾化树斌医院,医院,刘新华,一级_乙等,私有,滨州市,沾化县,沾化县下洼镇政府驻地,256803,45,20,无
95,邹平县人民医院,医院,成延忠,二级_甲等,国有全资,滨州市,邹平县,邹平县城黄山二路中段22号,256200,1329,760,无
96,邹平县中心医院,医院,刘文庆,二级_乙等,国有全资,滨州市,邹平县,邹平县位桥镇齐东路边11号,256212,609,580,无
